"","Property","Price","Type","Bedrooms","Bathrooms","Station","URl","pp_pw"
"345","Tower Bridge/Katherine Docks, London E1W",2495,"flat",3,"2","Tower Gateway","https://www.zoopla.co.uk/to-rent/details/58431675/",207.916666666667
"346","Frankland Close, London SE16",2496,"property",3,"1","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/58480816/",208
"347","Cavendish Street, London N1",2499,"property",3,"1","Old Street","https://www.zoopla.co.uk/to-rent/details/56015480/",208.25
"348","Bingfield Street, London N1",2500,NA,3,"2","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/59030155/",208.333333333333
"349","St. Pancras Way, London NW1",2500,"flat",3,"2","Camden Road","https://www.zoopla.co.uk/to-rent/details/59017155/",208.333333333333
"350","Bonner Road, London E2",2500,"flat",3,"2","Cambridge Heath","https://www.zoopla.co.uk/to-rent/details/52068754/",208.333333333333
"351","New North Road, London N1",2500,"flat",3,"1","Old Street","https://www.zoopla.co.uk/to-rent/details/53116640/",208.333333333333
"352","Globe Road, Stepney, London E1",2500,"house",3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58806445/",208.333333333333
"353","Camden, London N7",2500,"flat",3,"1","Kentish Town","https://www.zoopla.co.uk/to-rent/details/58691117/",208.333333333333
"354","Whitehorse Road, London E1",2500,"house",3,"2","Limehouse","https://www.zoopla.co.uk/to-rent/details/51587535/",208.333333333333
"355","Dodson Street, London SE1",2500,"flat",3,"1","Lambeth North","https://www.zoopla.co.uk/to-rent/details/58605477/",208.333333333333
"356","Royal College Street, London NW1",2500,"flat",3,"1","Camden Road","https://www.zoopla.co.uk/to-rent/details/58449008/",208.333333333333
"357","Globe Road, Stepney, London E1",2500,"house",3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58227956/",208.333333333333
"358","Spring Walk, London E1",2500,"property",3,"2","Whitechapel","https://www.zoopla.co.uk/to-rent/details/52286507/",208.333333333333
"359","Camden Mews, London NW1",2535,"flat",3,"1","Kentish Town","https://www.zoopla.co.uk/to-rent/details/58635684/",211.25
"360","Grand Walk, Solebay Street, London E1",3397,"house",4,"NA","Mile End","https://www.zoopla.co.uk/to-rent/details/44510716/",212.3125
"361","Zealand Road, London E3",3400,"house",4,"NA","Mile End","https://www.zoopla.co.uk/to-rent/details/58799954/",212.5
"362","Casby House, Dickens Estate, London SE16",2550,NA,3,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/54589205/",212.5
"363","Joseph Trotter Close, Clerkenwell EC1R",3402,NA,4,"1","Farringdon","https://www.zoopla.co.uk/to-rent/details/55131042/",212.625
"364","Rhyl Street, Kentish Town NW5",2557,"flat",3,"1","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/57520724/",213.083333333333
"365","Bancroft Road, London E1",2570,"flat",3,"3","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58247911/",214.166666666667
"366","Stamford Street, London SE1",2578,"flat",3,"1","London Waterloo East","https://www.zoopla.co.uk/to-rent/details/51507782/",214.833333333333
"367","Hermitage Court, Knighten Street, London E1W",2578,"flat",3,"2","Wapping","https://www.zoopla.co.uk/to-rent/details/58602775/",214.833333333333
"368","King's Cross Road, London WC1X",3445,"flat",4,"2","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/58782155/",215.3125
"369","Harley Street, London W1G",3445,"flat",4,"2","Regent's Park","https://www.zoopla.co.uk/to-rent/details/58707168/",215.3125
"370","Greville Street, Chancery Lane Ec1 EC1N",3450,"flat",4,"2","Chancery Lane","https://www.zoopla.co.uk/to-rent/details/58250454/",215.625
"371","Lloyd Baker Street, Clarkenwell, Farringdon, Kings Cross, London WC1X",4333,NA,5,"2","Angel","https://www.zoopla.co.uk/to-rent/details/58621984/",216.65
"372","Clifton House, London E2",2600,"flat",3,"2","Shoreditch High Street","https://www.zoopla.co.uk/to-rent/details/59027656/",216.666666666667
